City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,college,64.8569,-147.8028,-1.22,91,75,2.57,US,1675047995
190,leningradskiy,69.3833,178.4167,-21.65,97,74,3.03,RU,1675047996
191,rafai,4.95,23.9167,20.04,50,11,0.36,CF,1675047997
192,gatton,-27.55,152.2833,32.34,41,98,2.06,AU,1675048001
193,hilo,19.7297,-155.09,22.85,85,0,0.45,US,1675048002
194,vila,42.0304,-8.1588,-1.51,89,14,1.58,PT,1675048003
195,guadalajara,20.6667,-103.3333,19.99,47,0,2.24,MX,1675047804
196,dunedin,-45.8742,170.5036,18.78,76,89,1.79,NZ,1675048004
197,nacala,-14.5428,40.6728,24.33,94,17,2.42,MZ,1675048005
198,warmbad,-28.45,18.7333,19.71,48,0,2.65,NA,1675048005
199,boyolangu,-8.1181,111.8935,26.96,81,100,1.33,ID,1675048005
200,magistralnyy,56.1725,107.4458,-7.3,83,100,3.22,RU,1675048006
201,cap malheureux,-19.9842,57.6142,26.37,90,99,2.42,MU,1675048006
202,cockburn town,21.4612,-71.1419,24.88,76,11,10.41,TC,1675048007
203,rabo de peixe,37.8,-25.5833,11.73,87,75,5.14,PT,1675047999
204,kuching,1.55,110.3333,26.7,87,40,3.09,MY,1675047509
205,barrow,71.2906,-156.7887,-17.99,78,100,4.63,US,1675048008
206,qaqortoq,60.7167,-46.0333,-8.3,72,100,4.06,GL,1675048009
207,angoche,-16.2325,39.9086,24.73,89,1,0.98,MZ,1675048009
208,palmer,42.1584,-72.3287,7.23,73,20,3.6,US,1675047850
209,mackay,-21.15,149.2,32.05,67,74,3.05,AU,1675048010
210,maykor,59.0059,55.88,-12.99,93,99,3.99,RU,1675048010
211,laguna,38.421,-121.4238,8.36,81,75,3.09,US,1675048011
212,zalari,53.5584,102.5065,-11.51,93,100,2.65,RU,1675048011
213,carnarvon,-24.8667,113.6333,25.98,68,1,4.78,AU,1675048012
214,chutove,49.7104,35.1603,-4.6,87,21,1.72,UA,1675048012
215,san rafael,-34.6177,-68.3301,23.8,57,2,6.31,AR,1675048013
216,ahipara,-35.1667,173.1667,18.96,93,100,6.39,NZ,1675047962
217,kysyl-syr,63.8986,122.7617,-38.69,98,99,1.98,RU,1675048014
218,tuktoyaktuk,69.4541,-133.0374,-22.31,93,100,2.37,CA,1675047803
219,beinamar,8.6698,15.3813,24.15,18,18,1.58,TD,1675048015
220,cidreira,-30.1811,-50.2056,22.18,88,0,0.52,BR,1675048015
221,vestmanna,62.1564,-7.1664,0.51,75,100,15.43,FO,1675048015
222,waipawa,-41.4122,175.5153,23.26,63,100,1.41,NZ,1675048016
223,homer,59.6425,-151.5483,3.22,86,100,0.89,US,1675048016
224,bathsheba,13.2167,-59.5167,24.34,73,20,4.12,BB,1675048017
225,karoi,-16.8099,29.6925,17.11,94,99,1.55,ZW,1675048017
226,hualmay,-11.0964,-77.6139,22.24,82,100,3.19,PE,1675048018
227,nanortalik,60.1432,-45.2371,-4.3,83,100,3.71,GL,1675048018
228,flinders,-34.5833,150.8552,25.66,84,100,1.79,AU,1675048019
229,mendoza,-32.8908,-68.8272,23.05,70,43,4.14,AR,1675048019
230,santa maria del oro,25.9333,-105.3667,10.63,42,14,2.72,MX,1675048020
231,uruzgan,32.8333,66.0,-2.33,92,51,1.09,AF,1675048020
232,miesbach,47.789,11.8338,-5.37,91,29,1.82,DE,1675048020
233,prainha,-1.8,-53.48,23.58,82,58,1.12,BR,1675048021
234,conceicao do araguaia,-8.2578,-49.2647,22.33,92,25,1.04,BR,1675048021
235,san quintin,30.4833,-115.95,13.54,73,100,1.57,MX,1675048022
236,fare,-16.7,-151.0167,27.54,72,1,4.6,PF,1675048024
237,portland,45.5234,-122.6762,0.81,39,0,3.58,US,1675047448
238,high level,58.5169,-117.136,-12.87,85,91,4.15,CA,1675048027
239,tazovskiy,67.4667,78.7,-28.99,100,100,1.45,RU,1675048028
240,sao joao da barra,-21.6403,-41.0511,25.1,87,100,9.2,BR,1675048029
241,puerto ayora,-0.7393,-90.3518,24.75,94,76,1.21,EC,1675048044
242,itarema,-2.9248,-39.9167,24.88,86,6,3.74,BR,1675047939
243,hofn,64.2539,-15.2082,-2.29,63,8,4.64,IS,1675048046
244,hasaki,35.7333,140.8333,7.22,52,18,3.53,JP,1675048046
245,grindavik,63.8424,-22.4338,-0.74,74,75,3.6,IS,1675048049
246,quelimane,-17.8786,36.8883,27.97,89,20,2.57,MZ,1675048050
247,auki,-8.7676,160.7034,27.08,85,100,3.13,SB,1675048051
248,mul,20.0667,79.6667,22.68,51,16,1.71,IN,1675047669
249,tomra,62.5833,6.9333,5.0,97,100,8.02,NO,1675048052
250,harper,4.375,-7.7169,25.34,85,100,2.26,LR,1675048053
251,mazara del vallo,37.6641,12.588,9.41,78,4,2.5,IT,1675048054
252,korla,41.7597,86.1469,-8.8,72,67,2.18,CN,1675048055
253,port lincoln,-34.7333,135.8667,19.7,60,25,5.39,AU,1675048057
254,mauganj,24.6833,81.8833,17.46,25,14,1.86,IN,1675048063
255,tutoia,-2.7619,-42.2744,25.1,88,98,4.03,BR,1675048065
256,queanbeyan,-35.35,149.2333,19.21,96,75,4.12,AU,1675048065
257,fairbanks,64.8378,-147.7164,-1.21,91,40,2.57,US,1675048004
258,morant bay,17.8815,-76.4093,23.73,79,6,4.28,JM,1675048066
259,bowen,-20.0167,148.2333,28.09,68,98,5.05,AU,1675048066
260,tomatlan,19.9333,-105.25,20.66,80,0,0.95,MX,1675048067
261,batemans bay,-35.7167,150.1833,20.05,92,100,3.68,AU,1675048068
